Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PDAC201T_F8-9kf1_fwd	PDAC201T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50369134.0	0.0	40-75	54.0	36.67721149546576	74.98049765953887	pass	pass	pass	pass	warn	fail	warn	warn	fail	fail	pass
PDAC201T_F8-9kf1_rev	PDAC201T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50369134.0	0.0	40-75	54.0	35.22124467583284	74.98049765953887	pass	pass	pass	pass	warn	fail	warn	warn	fail	fail	pass
PDAC202T_F8-9kf1_fwd	PDAC202T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46167385.0	0.0	40-75	48.0	52.567014699386384	74.98920718598205	pass	pass	warn	pass	warn	pass	pass	warn	warn	pass	pass
PDAC202T_F8-9kf1_rev	PDAC202T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46167385.0	0.0	40-75	48.0	50.1982696563061	74.98920718598205	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
PDAC203T_F8-9kf1_fwd	PDAC203T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43765110.0	0.0	40-75	56.0	33.332246799109434	74.97925685551802	pass	pass	pass	pass	warn	fail	warn	warn	fail	fail	pass
PDAC203T_F8-9kf1_rev	PDAC203T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43765110.0	0.0	40-75	56.0	33.01478723969022	74.97925685551802	pass	pass	pass	pass	warn	fail	warn	warn	fail	fail	pass
PDAC204T_F8-9kf1_fwd	PDAC204T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27716591.0	0.0	40-75	53.0	43.67681941581231	74.9810518183856	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
PDAC204T_F8-9kf1_rev	PDAC204T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27716591.0	0.0	40-75	53.0	43.43266180971195	74.9810518183856	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC205T_F8-9kf1_fwd	PDAC205T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54275748.0	0.0	40-75	52.0	41.73036832405372	74.98129925358191	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC205T_F8-9kf1_rev	PDAC205T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54275748.0	0.0	40-75	52.0	39.565587176559745	74.98129925358191	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
PDAC206T_F8-9kf1_fwd	PDAC206T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36127924.0	0.0	40-75	51.0	43.14378923930461	74.97716829785182	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC206T_F8-9kf1_rev	PDAC206T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36127924.0	0.0	40-75	51.0	42.9925002428416	74.97716829785182	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
PDAC207T_F8-9kf1_fwd	PDAC207T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50939263.0	0.0	40-75	47.0	60.7621601345771	74.95996985665066	pass	pass	warn	pass	warn	fail	pass	warn	warn	fail	pass
PDAC207T_F8-9kf1_rev	PDAC207T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50939263.0	0.0	40-75	48.0	61.9593826982658	74.95996985665066	pass	pass	fail	pass	warn	warn	pass	warn	warn	warn	pass
PDAC208T_F8-9kf1_fwd	PDAC208T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37464546.0	0.0	40-75	54.0	33.50585415876321	74.9730817504101	pass	pass	pass	pass	warn	fail	warn	warn	fail	fail	pass
PDAC208T_F8-9kf1_rev	PDAC208T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37464546.0	0.0	40-75	54.0	34.93854228110116	74.9730817504101	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
PDAC209T_F8-9kf1_fwd	PDAC209T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35551828.0	0.0	40-75	51.0	48.43819147623682	74.98282392117784	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
PDAC209T_F8-9kf1_rev	PDAC209T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35551828.0	0.0	40-75	51.0	45.821832964110065	74.98282392117784	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
PDAC210T_F8-9kf1_fwd	PDAC210T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36253502.0	0.0	40-75	55.0	35.27161645957886	74.98363738763776	pass	pass	pass	pass	warn	fail	warn	warn	fail	fail	pass
PDAC210T_F8-9kf1_rev	PDAC210T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36253502.0	0.0	40-75	55.0	37.03528204696037	74.98363738763776	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
PDAC211T_F8-9kf1_fwd	PDAC211T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40366946.0	0.0	40-75	50.0	50.639239976242635	74.97687147301161	pass	pass	fail	pass	warn	fail	pass	warn	warn	warn	pass
PDAC211T_F8-9kf1_rev	PDAC211T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40366946.0	0.0	40-75	50.0	49.188022775685766	74.97687147301161	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC212T_F8-9kf1_fwd	PDAC212T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51401210.0	0.0	40-75	52.0	40.43964927149421	74.98086239604088	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
PDAC212T_F8-9kf1_rev	PDAC212T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51401210.0	0.0	40-75	52.0	38.539147730219945	74.98086239604088	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
PDAC213T_F8-9kf1_fwd	PDAC213T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27018304.0	0.0	40-75	53.0	42.643279909475396	74.97598165303047	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
