#File	/home/jacobo/Documents/02_TRANSDUCER/02_Raw_data/02_rRNA_removal_and_Trimming_check/02_Output/sortmerna/out/rRNAfree/PDAC217T_F8-9r_R1.fastq	/home/jacobo/Documents/02_TRANSDUCER/02_Raw_data/02_rRNA_removal_and_Trimming_check/02_Output/sortmerna/out/rRNAfree/PDAC217T_F8-9r_R2.fastq
#Total	62361956
#Matched	4504144	7.22258%
#Name	Reads	ReadsPct
Reverse_adapter	2217741	3.55624%
TruSeq_Universal_Adapter	2193553	3.51745%
TruSeq_Adapter_Index_21	44159	0.07081%
pcr_dimer	20454	0.03280%
PCR_Primers	13571	0.02176%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	4769	0.00765%
TruSeq_Adapter_Index_6	4307	0.00691%
TruSeq_Adapter_Index_18_7	1651	0.00265%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	894	0.00143%
PhiX_read2_adapter	620	0.00099%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	556	0.00089%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	384	0.00062%
TruSeq_Adapter_Index_9	378	0.00061%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	291	0.00047%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	106	0.00017%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	102	0.00016%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	83	0.00013%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	70	0.00011%
TruSeq_Adapter_Index_27	64	0.00010%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	51	0.00008%
TruSeq_Adapter_Index_15	40	0.00006%
I5_Primer_Nextera_XT_Index_Kit_v2_S513	32	0.00005%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]517	31	0.00005%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	27	0.00004%
contam_9	23	0.00004%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	19	0.00003%
I5_Adapter_Nextera	15	0.00002%
contam_15	15	0.00002%
RNA_PCR_Primer_(RP1)_part_#_15013198	14	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	11	0.00002%
TruSeq_Adapter_Index_19	11	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	9	0.00001%
contam_82	8	0.00001%
contam_85	8	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	7	0.00001%
PhiX_read1_adapter	7	0.00001%
I7_Nextera_Transposase_1	6	0.00001%
contam_12	6	0.00001%
contam_14	5	0.00001%
TruSeq_Adapter_Index_5	4	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S520	3	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	3	0.00000%
contam_13	3	0.00000%
contam_84	3	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N723	2	0.00000%
RNA_PCR_Primer_Index_20_(RPI20)	2	0.00000%
RNA_PCR_Primer_Index_27_(RPI27)	2	0.00000%
TruSeq_Adapter_Index_11	2	0.00000%
TruSeq_Adapter_Index_7	2	0.00000%
contam_10	2	0.00000%
contam_32	2	0.00000%
contam_83	2	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	1	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N702	1	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	1	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	1	0.00000%
RNA_PCR_Primer_Index_28_(RPI28)	1	0.00000%
RNA_PCR_Primer_Index_40_(RPI40)	1	0.00000%
RNA_PCR_Primer_Index_46_(RPI46)	1	0.00000%
TruSeq_Adapter_Index_3	1	0.00000%
TruSeq_Adapter_Index_4	1	0.00000%
TruSeq_Adapter_Index_8	1	0.00000%
contam_80	1	0.00000%
contam_81	1	0.00000%
contam_86	1	0.00000%
contam_96	1	0.00000%
