#File	/home/jacobo/Documents/02_TRANSDUCER/02_Raw_data/02_rRNA_removal_and_Trimming_check/02_Output/sortmerna/out/rRNAfree/PDAC217Tr_R1.fastq	/home/jacobo/Documents/02_TRANSDUCER/02_Raw_data/02_rRNA_removal_and_Trimming_check/02_Output/sortmerna/out/rRNAfree/PDAC217Tr_R2.fastq
#Total	136821776
#Matched	4193565	3.06498%
#Name	Reads	ReadsPct
Reverse_adapter	2064536	1.50892%
TruSeq_Universal_Adapter	2050757	1.49885%
TruSeq_Adapter_Index_20	36718	0.02684%
pcr_dimer	13836	0.01011%
PCR_Primers	9894	0.00723%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	4705	0.00344%
TruSeq_Adapter_Index_6	4359	0.00319%
TruSeq_Adapter_Index_18_7	2845	0.00208%
TruSeq_Adapter_Index_19	2318	0.00169%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	845	0.00062%
PhiX_read2_adapter	553	0.00040%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	515	0.00038%
TruSeq_Adapter_Index_15	405	0.00030%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	301	0.00022%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	245	0.00018%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	217	0.00016%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	81	0.00006%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	75	0.00005%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	66	0.00005%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	56	0.00004%
I7_Nextera_Transposase_1	44	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]517	30	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S513	24	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	21	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	19	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	16	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	13	0.00001%
I5_Adapter_Nextera	12	0.00001%
TruSeq_Adapter_Index_22	10	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	8	0.00001%
RNA_PCR_Primer_(RP1)_part_#_15013198	8	0.00001%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	7	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S520	3	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	3	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N723	2	0.00000%
RNA_PCR_Primer_Index_20_(RPI20)	2	0.00000%
TruSeq_Adapter_Index_12	2	0.00000%
TruSeq_Adapter_Index_7	2	0.00000%
contam_137	2	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N720	1	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N702	1	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	1	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	1	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	1	0.00000%
PhiX_read1_adapter	1	0.00000%
RNA_PCR_Primer_Index_17_(RPI17)	1	0.00000%
TruSeq_Adapter_Index_11	1	0.00000%
TruSeq_Adapter_Index_3	1	0.00000%
TruSeq_Adapter_Index_4	1	0.00000%
