NAME	TITLE	SCORE	
NEFH		0.04208047	
PAMR1		0.042041473	
AK8		0.0419229	
TRIM74		0.04183792	
IFI27L1		0.041652333	
RP11-115J16.2		0.041585933	
RP11-67M1.1		0.041525643	
COL24A1		0.041275613	
EGFL6		0.041268557	
BMS1P9		0.040365774	
RP3-336K20__B.2		0.040354952	
RP11-115H18.1		0.040328395	
BTK		0.04025448	
MYO1H		0.040246557	
RN7SL569P		0.040131792	
AC004603.4		0.040085245	
CTD-2611K5.5		0.03999343	
TEKT4P2		0.03997942	
RP13-452N2.1		0.03995147	
ROBO2		0.03993514	
FLNB		0.039923657	
DKK2		0.039863545	
HHATL		0.039786294	
LINC00965		0.039779045	
CDH18		0.039654564	
RP3-406P24.3		0.039638128	
RP11-56F10.3		0.039600763	
C17orf72		0.039585657	
EPO		0.039534118	
RP11-3M1.1		0.039511126	
CACNB4		0.03949945	
AC008278.2		0.039498158	
AKNAD1		0.039448887	
RP11-773H22.4		0.03944324	
MCTP1		0.03932544	
NIFKP8		0.039305087	
RP11-84D1.1		0.03925652	
RP11-396B14.2		0.039237533	
RP11-753A21.1		0.039162852	
EXOC3L1		0.039162595	
AC016995.3		0.039159298	
CCDC144NL		0.039145615	
CTD-2245E15.3		0.039137714	
RP11-902B17.1		0.039045677	
FOLR3		0.039032895	
RP11-622C24.1		0.039012957	
DNASE1L2		0.03898687	
BPI		0.03890137	
NUTM2B		0.038900446	
RPL21P54		0.03888276	
FAM90A25P		0.038826287	
C21orf2		0.03882139	
MIR3942		0.03880739	
RP11-130F10.1		0.03878772	
LIPE-AS1		0.03877295	
RN7SL799P		0.03876524	
RP11-632F7.3		0.038762696	
KRT16P2		0.03874778	
RNA5SP474		0.038739	
RP11-345M22.1		0.03868979	
RP11-310P5.1		0.038658872	
RP1-20C7.6		0.03865759	
RP11-87F15.2		0.038615506	
ATP6V0E1P2		0.03857857	
RP11-110A12.2		0.038577314	
EPPIN		0.038572885	
RP11-214C8.2		0.03855958	
RNU6-968P		0.03854934	
RP11-453N18.1		0.038545974	
RP11-521C20.3		0.03854173	
HOXB-AS2		0.03851239	
LINC01014		0.03850736	
RP3-337O18.9		0.038472496	
APLNR		0.038470127	
NME9		0.03846825	
AC114730.8		0.038433544	
LHPP		0.038422402	
GOLGA6L3		0.038396776	
ARHGAP23P1		0.03837322	
RNU6-37P		0.038369525	
EPPIN-WFDC6		0.03836689	
AC096582.8		0.038349733	
RNU6-1262P		0.038307674	
CAMKK1		0.03830156	
AC009229.6		0.03827264	
PODNL1		0.038263757	
CITED4		0.038262703	
MIPEPP3		0.03823509	
RP1-120G22.11		0.038231198	
AC104654.2		0.038164426	
OR4D12P		0.038150985	
LINC01079		0.038150985	
COX5BP2		0.038150985	
RP11-433M22.2		0.038150985	
C1orf158		0.03812785	
LINC00578		0.038113575	
ADAMTS4		0.038088996	
COL23A1		0.038087603	
FREM1		0.038083646	
TCAM1P		0.038073327	
LINC00514		0.038043525	
RP11-167N4.4		0.037977237	
CD300A		0.037924387	
RP4-530I15.9		0.03789318	
MIR210HG		0.037882894	
RP11-5A19.5		0.037858255	
AC022154.7		0.037844557	
U2AF1		0.03781506	
CCM2L		0.0377991	
SNORA47		0.037795704	
RP5-983L19.2		0.037772484	
C9orf24		0.037764236	
CTD-2091N23.1		0.037727334	
RP11-326L17.1		0.037727334	
CTD-3023L14.2		0.037726354	
AP001062.8		0.037723005	
RP11-307C19.1		0.03772108	
RP11-213G2.2		0.03766155	
SPEF1		0.037626754	
AC092316.1		0.0376177	
C17orf104		0.037597273	
NECAB1		0.037596356	
SCN11A		0.037588146	
HAPLN2		0.037563484	
RP11-461F11.3		0.03754496	
CTD-2228K2.5		0.037525736	
RP11-266L9.4		0.037488624	
AC104809.3		0.037389673	
RP1-241P17.7		0.037388258	
SLC5A11		0.03738015	
RP11-262H14.7		0.03733832	
P2RX6P		0.037320986	
HDAC5		0.037309907	
RP3-340B19.3		0.037301514	
U62631.5		0.037288986	
CELSR3		0.03727072	
AC079781.7		0.0372271	
RP11-9N20.3		0.0372271	
RP11-397H6.1		0.0372271	
RP11-757A13.1		0.0372271	
RP11-342H21.2		0.0372271	
RP11-380M21.4		0.0372271	
XCR1		0.037223686	
RP1-261D10.2		0.037190124	
RP4-710M16.2		0.037170038	
LINC00845		0.03712803	
RP5-1172A22.1		0.03712803	
HOXB-AS1		0.037123904	
ATG16L2		0.037106253	
PLEKHH3		0.03709616	
DRC1		0.037060928	
MKNK2		0.03705278	
AC073133.2		0.037052434	
LINC00661		0.037052076	
C9orf84		0.037043165	
TRIM73		0.03703856	
FOXJ1		0.036977224	
RP11-893F2.14		0.036964823	
ZNF425		0.03693359	
MAGEC3		0.0368972	
RP11-483E7.1		0.03688432	
PIANP		0.03682972	
CCDC180		0.03682563	
DNAI1		0.036812015	
RP11-266N13.2		0.03680789	
DOC2A		0.036806617	
CYP39A1		0.03680399	
ALG1L12P		0.036796242	
ARHGAP27		0.036776323	
PDCL2		0.03676158	
STAP1		0.036704723	
VEGFA		0.036690403	
MIR130A		0.036667485	
CCDC64B		0.0366663	
RP11-168E14.1		0.03654619	
RP11-143J24.1		0.03654619	
SLC26A4-AS1		0.036541265	
ZNF837		0.036517777	
NPIPA5		0.036488675	
LINC00702		0.03643634	
ZNF295-AS1		0.03639699	
PRSS29P		0.03638608	
TEAD3		0.03638395	
AC018755.16		0.036382176	
RP11-310P5.2		0.036361385	
RP11-305F5.2		0.036361385	
ANKK1		0.036312483	
CTB-140J7.2		0.036262687	
LRRC2		0.036239263	
RP11-706O15.5		0.03623876	
GRIN3A		0.03622646	
CDC20B		0.03622324	
XXbac-B444P24.10		0.036215797	
RP11-490H24.5		0.036139112	
GJD3		0.036096822	
RP4-740C4.6		0.036087528	
WDR88		0.0360577	
TSNAXIP1		0.03604513	
CD163		0.036041543	
RP11-728F11.3		0.036000438	
KCNMB1		0.035987135	
MIR3909		0.035980355	
RP11-1070A24.2		0.035972666	
GATSL3		0.035969757	
ASIP		0.035919033	
C9orf116		0.035908595	
AC009495.3		0.03590018	
CCDC157		0.035875358	
SNAPC2		0.03587068	
AC011742.5		0.0358478	
