NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VEGFA	171	0.036690402776002884	-0.10489944	No	
row_1	KCNMB1	200	0.03598713502287865	-0.06506876	No	
row_2	ITGA10	333	0.03267664834856987	-0.13776398	No	
row_3	ISLR	467	0.021594788879156113	-0.23255335	No	
row_4	CD9	713	-0.027785083279013634	-0.42997402	Yes	
row_5	GNG12	730	-0.028183018788695335	-0.39272586	Yes	
row_6	KIF23	766	-0.029419200494885445	-0.37253457	Yes	
row_7	ATP2B1	826	-0.03147093579173088	-0.37295663	Yes	
row_8	CAPZA1	836	-0.03182010352611542	-0.3216422	Yes	
row_9	EPCAM	892	-0.033674631267786026	-0.313788	Yes	
row_10	RAB5A	903	-0.03406983241438866	-0.25921705	Yes	
row_11	GNG5	951	-0.03571384400129318	-0.2393136	Yes	
row_12	NRAS	952	-0.03572602570056915	-0.17137882	Yes	
row_13	CLEC3B	957	-0.03598182275891304	-0.10704342	Yes	
row_14	RAP1A	962	-0.03665333613753319	-0.041431114	Yes	
row_15	CYB5R1	981	-0.03844025358557701	0.0132788	Yes	
