NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAMTS4	96	0.03808899596333504	-0.07595747	No	
row_1	TFPT	232	0.03533210977911949	-0.19509138	No	
row_2	ADAMTS13	247	0.03500252962112427	-0.18627003	No	
row_3	TTLL9	308	0.0336080901324749	-0.22711973	No	
row_4	NUDT14	340	0.03242601826786995	-0.23804785	No	
row_5	FBXW9	364	0.03123234212398529	-0.24130799	No	
row_6	FBXO27	383	0.03065497986972332	-0.23966163	No	
row_7	KLHL41	422	0.027849188074469566	-0.26109767	No	
row_8	PRSS41	478	0.019703827798366547	-0.30604613	No	
row_9	ASB2	489	0.012864978983998299	-0.30794623	No	
row_10	RBBP7	507	-0.01750260964035988	-0.31412786	No	
row_11	ASB8	532	-0.020614854991436005	-0.32562175	No	
row_12	USP30	554	-0.02192733809351921	-0.33305082	Yes	
row_13	DTL	555	-0.021949337795376778	-0.31821924	Yes	
row_14	PIGM	565	-0.022603703662753105	-0.31247938	Yes	
row_15	PSMB6	573	-0.02298470214009285	-0.30436346	Yes	
row_16	WSB2	577	-0.02318407967686653	-0.2918755	Yes	
row_17	SMAD4	605	-0.024097025394439697	-0.3041944	Yes	
row_18	CHML	623	-0.02492162398993969	-0.30536285	Yes	
row_19	USP7	638	-0.025278091430664062	-0.30311248	Yes	
row_20	SP3	650	-0.025717899203300476	-0.29738697	Yes	
row_21	SAR1B	651	-0.025721782818436623	-0.28000626	Yes	
row_22	NR3C2	653	-0.02575673721730709	-0.2636613	Yes	
row_23	CAND1	662	-0.025990230962634087	-0.2545738	Yes	
row_24	PIAS1	664	-0.026036465540528297	-0.23803978	Yes	
row_25	CDCA8	675	-0.02633361890912056	-0.23083888	Yes	
row_26	PSMD1	698	-0.0272202230989933	-0.23575075	Yes	
row_27	RAB21	707	-0.02764413133263588	-0.22554567	Yes	
row_28	DAD1	709	-0.02770339511334896	-0.2078853	Yes	
row_29	ALG10	725	-0.028080061078071594	-0.2048009	Yes	
row_30	RAB8B	756	-0.02910437621176243	-0.21691419	Yes	
row_31	LAMB1	769	-0.02946579083800316	-0.20971547	Yes	
row_32	SRD5A3	771	-0.029593288898468018	-0.19077806	Yes	
row_33	PSMA6	778	-0.029912307858467102	-0.17692168	Yes	
row_34	DYNC1LI1	787	-0.030105656012892723	-0.16505331	Yes	
row_35	C1GALT1	793	-0.030328450724482536	-0.14985642	Yes	
row_36	ACTR10	798	-0.03047449141740799	-0.13350151	Yes	
row_37	EPAS1	830	-0.03166976943612099	-0.14494064	Yes	
row_38	CAPZA1	836	-0.03182010352611542	-0.12873583	Yes	
row_39	TMED2	880	-0.03331722319126129	-0.1517736	Yes	
row_40	RAB33B	896	-0.03381999954581261	-0.14481063	Yes	
row_41	CNIH1	899	-0.03401152044534683	-0.123947054	Yes	
row_42	RAB5A	903	-0.03406983241438866	-0.104103394	Yes	
row_43	GALNT3	906	-0.03408908471465111	-0.08318741	Yes	
row_44	PSMA5	926	-0.034808628261089325	-0.079793684	Yes	
row_45	RAB30	932	-0.035056281834840775	-0.061402112	Yes	
row_46	PSMA3	939	-0.035417553037405014	-0.04382574	Yes	
row_47	TRAPPC6B	942	-0.03543683513998985	-0.021999056	Yes	
row_48	GALNT4	946	-0.03550151363015175	-0.0011879874	Yes	
row_49	MAN1A2	967	-0.03682051971554756	0.0025058843	Yes	
row_50	GFPT1	969	-0.037051569670438766	0.026483	Yes	
