NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Details ...	51	-0.34786752	-2.6906276	0.0	0.0	0.0	442	tags=76%, list=44%, signal=131%	
REACTOME_MEMBRANE_TRAFFICKING	REACTOME_MEMBRANE_TRAFFICKING	Details ...	27	-0.42964378	-2.553875	0.0	9.999999E-4	0.001	289	tags=67%, list=29%, signal=91%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	20	-0.47823068	-2.4207807	0.0	6.6666666E-4	0.001	434	tags=90%, list=44%, signal=156%	
REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE	Details ...	29	-0.38110223	-2.3342187	0.0	0.002106993	0.004	308	tags=66%, list=31%, signal=92%	
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Details ...	20	-0.44326246	-2.274254	0.0024875621	0.004376437	0.009	218	tags=60%, list=22%, signal=75%	
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS	Details ...	16	-0.48280874	-2.2582574	0.0	0.0036470308	0.009	283	tags=75%, list=28%, signal=103%	
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	Details ...	26	-0.3891629	-2.227617	0.0	0.0041260263	0.012	489	tags=88%, list=49%, signal=169%	
REACTOME_VESICLE_MEDIATED_TRANSPORT	REACTOME_VESICLE_MEDIATED_TRANSPORT	Details ...	29	-0.37351736	-2.196044	0.0	0.0050352733	0.016	289	tags=62%, list=29%, signal=85%	
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	REACTOME_TRANSPORT_OF_SMALL_MOLECULES	Details ...	34	-0.33519286	-2.190524	0.0	0.0049869097	0.018	345	tags=65%, list=35%, signal=96%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	31	-0.33277625	-2.117363	0.0	0.007078721	0.027	313	tags=61%, list=31%, signal=87%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM	Details ...	33	-0.3187051	-2.0518079	0.002739726	0.009756807	0.04	259	tags=55%, list=26%, signal=71%	
REACTOME_CELL_CYCLE	REACTOME_CELL_CYCLE	Details ...	18	-0.41664663	-2.0339777	0.0023310024	0.009250557	0.042	423	tags=83%, list=43%, signal=142%	
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	Details ...	17	-0.41576675	-1.9923724	0.0	0.0104022175	0.052	320	tags=71%, list=32%, signal=102%	
REACTOME_RHO_GTPASE_CYCLE	REACTOME_RHO_GTPASE_CYCLE	Details ...	16	-0.41024816	-1.9081773	0.012594459	0.01660019	0.09	206	tags=50%, list=21%, signal=62%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	Details ...	42	-0.25354308	-1.8205103	0.008333334	0.022997165	0.136	396	tags=64%, list=40%, signal=102%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	17	-0.3731615	-1.7856164	0.02877698	0.025362747	0.159	334	tags=71%, list=34%, signal=104%	
REACTOME_NEDDYLATION	REACTOME_NEDDYLATION	Details ...	15	-0.37142855	-1.7052026	0.019704433	0.034638133	0.219	632	tags=100%, list=64%, signal=270%	
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	Details ...	22	-0.2693331	-1.4243114	0.10858586	0.12435749	0.626	209	tags=41%, list=21%, signal=51%	
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	REACTOME_ADAPTIVE_IMMUNE_SYSTEM	Details ...	32	-0.21918485	-1.4088932	0.08563536	0.12474497	0.653	345	tags=53%, list=35%, signal=79%	
