NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP39A1	166	0.036803990602493286	-0.13333553	No	
row_1	PLA2G3	223	0.03557771071791649	-0.15385808	No	
row_2	PIP5K1C	236	0.03523343801498413	-0.12910102	No	
row_3	G0S2	245	0.035033851861953735	-0.100405335	No	
row_4	CRAT	280	0.03441831097006798	-0.0993306	No	
row_5	ACBD4	358	0.0315423421561718	-0.14589858	No	
row_6	SMARCD3	463	0.02252626046538353	-0.22999552	No	
row_7	LPGAT1	503	-0.017030350863933563	-0.25246853	No	
row_8	PTGES3	549	-0.021609218791127205	-0.2763305	No	
row_9	HMGCS1	593	-0.023638030514121056	-0.29597545	No	
row_10	GC	621	-0.024893786758184433	-0.29769683	No	
row_11	SAR1B	651	-0.025721782818436623	-0.30061856	No	
row_12	SGPP2	683	-0.026648739352822304	-0.30463618	Yes	
row_13	LBR	702	-0.027489138767123222	-0.29428086	Yes	
row_14	PLEKHA2	715	-0.027827778831124306	-0.2773439	Yes	
row_15	FDFT1	760	-0.029238678514957428	-0.2921121	Yes	
row_16	PNPLA8	768	-0.0294629093259573	-0.2682618	Yes	
row_17	SRD5A3	771	-0.029593288898468018	-0.23908706	Yes	
row_18	PPT1	781	-0.030016036704182625	-0.21672735	Yes	
row_19	TBL1XR1	794	-0.030339878052473068	-0.1971377	Yes	
row_20	GPD1	804	-0.03064962662756443	-0.17410892	Yes	
row_21	MSMO1	867	-0.03294825926423073	-0.20363215	Yes	
row_22	SGPL1	872	-0.033052824437618256	-0.17287898	Yes	
row_23	MED21	876	-0.033219095319509506	-0.14091289	Yes	
row_24	DHCR7	882	-0.033351559191942215	-0.110881604	Yes	
row_25	LCLAT1	888	-0.033509448170661926	-0.0806836	Yes	
row_26	HSD17B12	902	-0.03405672684311867	-0.058206443	Yes	
row_27	RAB5A	903	-0.03406983241438866	-0.02222997	Yes	
row_28	MMAA	904	-0.03407200798392296	0.013748802	Yes	
row_29	HMGCR	934	-0.03515641763806343	0.02078968	Yes	
row_30	CYP51A1	977	-0.038271863013505936	0.017634872	Yes	
