NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCKIPSD	4	0.04177028313279152	0.060092058	Yes	
row_1	BTK	22	0.04119820147752762	0.105930254	Yes	
row_2	C5AR1	252	0.03876546025276184	-0.07007803	Yes	
row_3	PRKCD	256	0.03871145844459534	-0.013659043	Yes	
row_4	CD300A	410	0.0353463813662529	-0.11673368	Yes	
row_5	FOLR3	436	0.034520018845796585	-0.08939131	Yes	
row_6	HCK	473	0.03351125866174698	-0.074916445	Yes	
row_7	MAP3K14	480	0.03341204300522804	-0.029729888	Yes	
row_8	EPPIN-WFDC6	510	0.03236416354775429	-0.00981663	Yes	
row_9	FCER1G	548	0.030917663127183914	-3.5731576E-4	Yes	
row_10	MMP25	554	0.03073420189321041	0.0417418	Yes	
row_11	PLEKHO2	562	0.030098922550678253	0.08080678	Yes	
row_12	CTSD	564	0.030011750757694244	0.12591061	Yes	
row_13	BPI	578	0.029134664684534073	0.15732053	Yes	
row_14	ALDOA	603	0.02794988453388214	0.17559241	Yes	
row_15	DPP7	674	0.022855333983898163	0.13870808	No	
row_16	TLR9	683	0.021930497139692307	0.16418813	No	
row_17	CRISP3	791	0.00583862466737628	0.06308069	No	
row_18	ATP6V0D2	810	-0.0019325402099639177	0.047532782	No	
row_19	PSTPIP1	834	-0.012709619477391243	0.04340685	No	
row_20	C6	838	-0.013678290881216526	0.061346047	No	
row_21	MUC21	850	-0.015333541668951511	0.07359916	No	
row_22	PRKACB	903	-0.021266216412186623	0.052790634	No	
row_23	TMEM179B	952	-0.026562638580799103	0.04423874	No	
