NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIP5K1C	16	0.04133864492177963	0.05494952	Yes	
row_1	DLG4	126	0.03983480855822563	0.012114944	Yes	
row_2	CACNB4	132	0.03979548066854477	0.07566082	Yes	
row_3	COL6A3	136	0.03977087885141373	0.14121133	Yes	
row_4	CLTCL1	179	0.03942813351750374	0.16625234	Yes	
row_5	MAP2K2	269	0.038438279181718826	0.14147902	Yes	
row_6	ITGA10	291	0.038122739642858505	0.18576208	Yes	
row_7	KIF4B	324	0.037567202001810074	0.21782763	Yes	
row_8	SCN11A	357	0.03688512369990349	0.24871634	Yes	
row_9	GIT1	422	0.034897930920124054	0.24342299	Yes	
row_10	CACNB1	456	0.03399994969367981	0.26831	Yes	
row_11	PAK4	483	0.03332163393497467	0.29919147	Yes	
row_12	SRGAP3	655	0.024387294426560402	0.16624402	No	
row_13	COL6A6	713	0.018976686522364616	0.14064474	No	
row_14	NAB2	727	0.01770482212305069	0.15788682	No	
row_15	RPS27L	820	-0.009884204715490341	0.08077533	No	
row_16	CXCL12	842	-0.014241804368793964	0.08385393	No	
row_17	RPL10L	880	-0.019710000604391098	0.07999076	No	
row_18	PRKACB	903	-0.021266216412186623	0.094165824	No	
