NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCKIPSD	4	0.04177028313279152	0.065735355	Yes	
row_1	BTK	22	0.04119820147752762	0.11718089	Yes	
row_2	MTA1	30	0.0410083644092083	0.17856544	Yes	
row_3	PTGIR	80	0.04026409611105919	0.19562869	Yes	
row_4	MAP2K2	269	0.038438279181718826	0.06707515	No	
row_5	MBD3	279	0.03827729821205139	0.1218422	No	
row_6	SH3GL1	382	0.036214277148246765	0.07777537	No	
row_7	VEGFA	391	0.03580585494637489	0.12943593	No	
row_8	HCK	473	0.03351125866174698	0.10238823	No	
row_9	HMG20B	517	0.03203776478767395	0.11185128	No	
row_10	VIPR2	552	0.030784597620368004	0.12844987	No	
row_11	TLR9	683	0.021930497139692307	0.03178329	No	
row_12	ADM	756	0.01440347172319889	-0.01798094	No	
row_13	RPS27L	820	-0.009884204715490341	-0.06607041	No	
row_14	PSTPIP1	834	-0.012709619477391243	-0.05815386	No	
row_15	GTF2A2	861	-0.017091894522309303	-0.05624369	No	
row_16	RPL10L	880	-0.019710000604391098	-0.041751046	No	
row_17	TBL1XR1	901	-0.020881734788417816	-0.0273506	No	
row_18	PRKACB	903	-0.021266216412186623	0.007179858	No	
row_19	GNG12	932	-0.024046262726187706	0.018666115	No	
row_20	TAF13	958	-0.02686893753707409	0.037948675	No	
