Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
PDAC201T_F8-9kf1_fwd	63.32278850453424	54.0	74.98049765953887	27.27272727272727	50369134.0
PDAC201T_F8-9kf1_rev	64.77875532416715	54.0	74.98049765953887	27.27272727272727	50369134.0
PDAC202T_F8-9kf1_fwd	47.432985300613616	48.0	74.98920718598205	0.0	46167385.0
PDAC202T_F8-9kf1_rev	49.8017303436939	48.0	74.98920718598205	0.0	46167385.0
PDAC203T_F8-9kf1_fwd	66.66775320089056	56.0	74.97925685551802	27.27272727272727	43765110.0
PDAC203T_F8-9kf1_rev	66.98521276030978	56.0	74.97925685551802	27.27272727272727	43765110.0
PDAC204T_F8-9kf1_fwd	56.32318058418769	53.0	74.9810518183856	27.27272727272727	27716591.0
PDAC204T_F8-9kf1_rev	56.56733819028805	53.0	74.9810518183856	18.181818181818183	27716591.0
PDAC205T_F8-9kf1_fwd	58.26963167594628	52.0	74.98129925358191	27.27272727272727	54275748.0
PDAC205T_F8-9kf1_rev	60.434412823440255	52.0	74.98129925358191	18.181818181818183	54275748.0
PDAC206T_F8-9kf1_fwd	56.85621076069539	51.0	74.97716829785182	27.27272727272727	36127924.0
PDAC206T_F8-9kf1_rev	57.0074997571584	51.0	74.97716829785182	9.090909090909092	36127924.0
PDAC207T_F8-9kf1_fwd	39.2378398654229	47.0	74.95996985665066	18.181818181818183	50939263.0
PDAC207T_F8-9kf1_rev	38.0406173017342	48.0	74.95996985665066	9.090909090909092	50939263.0
PDAC208T_F8-9kf1_fwd	66.49414584123679	54.0	74.9730817504101	27.27272727272727	37464546.0
PDAC208T_F8-9kf1_rev	65.06145771889885	54.0	74.9730817504101	27.27272727272727	37464546.0
PDAC209T_F8-9kf1_fwd	51.56180852376318	51.0	74.98282392117784	18.181818181818183	35551828.0
PDAC209T_F8-9kf1_rev	54.178167035889935	51.0	74.98282392117784	9.090909090909092	35551828.0
PDAC210T_F8-9kf1_fwd	64.72838354042113	55.0	74.98363738763776	27.27272727272727	36253502.0
PDAC210T_F8-9kf1_rev	62.96471795303963	55.0	74.98363738763776	27.27272727272727	36253502.0
PDAC211T_F8-9kf1_fwd	49.360760023757365	50.0	74.97687147301161	18.181818181818183	40366946.0
PDAC211T_F8-9kf1_rev	50.811977224314234	50.0	74.97687147301161	18.181818181818183	40366946.0
PDAC212T_F8-9kf1_fwd	59.56035072850579	52.0	74.98086239604088	27.27272727272727	51401210.0
PDAC212T_F8-9kf1_rev	61.460852269780055	52.0	74.98086239604088	27.27272727272727	51401210.0
PDAC213T_F8-9kf1_fwd	57.356720090524604	53.0	74.97598165303047	27.27272727272727	27018304.0
PDAC213T_F8-9kf1_rev	58.37953546987698	53.0	74.97598165303047	36.36363636363637	27018304.0
PDAC214T_F8-9kf1_fwd	65.18696496060468	53.0	74.97485241223296	27.27272727272727	37711967.0
PDAC214T_F8-9kf1_rev	65.3209519262963	53.0	74.97485241223296	36.36363636363637	37711967.0
PDAC215T_F8-9kf1_fwd	75.73445450323104	53.0	74.96938853191014	54.54545454545454	19073342.0
PDAC215T_F8-9kf1_rev	74.27476773808078	52.0	74.96938853191014	54.54545454545454	19073342.0
PDAC216T_F8-9kf1_fwd	51.967433826466824	53.0	74.98533082449397	27.27272727272727	30896624.0
PDAC216T_F8-9kf1_rev	55.59105514300643	52.0	74.98533082449397	27.27272727272727	30896624.0
PDAC217T_F8-9kf1_fwd	61.94209307080186	53.0	74.98042211302885	27.27272727272727	31188708.0
PDAC217T_F8-9kf1_rev	62.22504729481271	54.0	74.98042211302885	27.27272727272727	31188708.0
PDAC218T_F8-9kf1_fwd	57.93382310957952	51.0	74.98805058208623	27.27272727272727	43361359.0
PDAC218T_F8-9kf1_rev	60.038728361190294	51.0	74.98805058208623	9.090909090909092	43361359.0
PDAC219T_F8-9kf1_fwd	50.39008209348121	51.0	74.98404259723848	27.27272727272727	25963561.0
PDAC219T_F8-9kf1_rev	49.7721264576241	51.0	74.98404259723848	18.181818181818183	25963561.0
PDAC220T_F8-9kf1_fwd	78.64349446499416	54.0	74.97920620466677	36.36363636363637	31895476.0
PDAC220T_F8-9kf1_rev	76.80630212030847	54.0	74.97920620466677	36.36363636363637	31895476.0
PDAC221T_F8-9kf1_fwd	62.84947176936722	53.0	74.98569192437553	27.27272727272727	25776632.0
PDAC221T_F8-9kf1_rev	62.87539316651938	53.0	74.98569192437553	27.27272727272727	25776632.0
PDAC222T_F8-9kf1_fwd	66.75422155432356	53.0	74.98377036851006	36.36363636363637	35963848.0
PDAC222T_F8-9kf1_rev	67.17775407315139	53.0	74.98377036851006	18.181818181818183	35963848.0
PDAC223T_F8-9kf1_fwd	48.69022413283265	52.0	74.98323129083029	18.181818181818183	23271022.0
PDAC223T_F8-9kf1_rev	50.703208916940554	52.0	74.98323129083029	27.27272727272727	23271022.0
PDAC224T_F8-9kf1_fwd	57.50427400537194	51.0	74.98892490252372	27.27272727272727	54434013.0
PDAC224T_F8-9kf1_rev	59.685812591371345	51.0	74.98892490252372	18.181818181818183	54434013.0
PDAC225T_F8-9kf1_fwd	51.94156740364361	52.0	74.98371870524562	27.27272727272727	43509009.0
PDAC225T_F8-9kf1_rev	54.25121378149651	52.0	74.98371870524562	18.181818181818183	43509009.0
PDAC226T_F8-9kf1_fwd	73.38320156373891	53.0	74.9800438045649	27.27272727272727	33509293.0
PDAC226T_F8-9kf1_rev	70.73715990530083	53.0	74.9800438045649	27.27272727272727	33509293.0
PDAC227T_F8-9kf1_fwd	56.951185469832076	52.0	74.98701331494478	27.27272727272727	42176968.0
PDAC227T_F8-9kf1_rev	60.63821572477014	53.0	74.98701331494478	27.27272727272727	42176968.0
