#File	/home/jacobo/Documents/02_TRANSDUCER/02_Raw_data/02_rRNA_removal_and_Trimming_check/02_Output/sortmerna/out/rRNAfree/PDAC202T_F8-9r_R1.fastq	/home/jacobo/Documents/02_TRANSDUCER/02_Raw_data/02_rRNA_removal_and_Trimming_check/02_Output/sortmerna/out/rRNAfree/PDAC202T_F8-9r_R2.fastq
#Total	92334400
#Matched	73143	0.07922%
#Name	Reads	ReadsPct
Reverse_adapter	33477	0.03626%
TruSeq_Universal_Adapter	31750	0.03439%
pcr_dimer	3697	0.00400%
PCR_Primers	2374	0.00257%
TruSeq_Adapter_Index_12	473	0.00051%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	291	0.00032%
PhiX_read2_adapter	261	0.00028%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	135	0.00015%
TruSeq_Adapter_Index_2	122	0.00013%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	75	0.00008%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	71	0.00008%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	61	0.00007%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	43	0.00005%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	37	0.00004%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	35	0.00004%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]517	32	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	28	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	27	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	26	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	22	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	21	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	18	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	17	0.00002%
RNA_PCR_Primer_(RP1)_part_#_15013198	14	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S513	11	0.00001%
I5_Adapter_Nextera	10	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S520	10	0.00001%
RNA_PCR_Primer_Index_20_(RPI20)	3	0.00000%
TruSeq_Adapter_Index_13	1	0.00000%
TruSeq_Adapter_Index_22	1	0.00000%
