EnsemblID	s17AAO2007-Pol	s17AAO2007-tot	s17T-Pol	s17T-tot	sDALJO-Pol	sDALJO-tot	sMAYCL-Pol	sMAYCL-tot
ENSG00000284662	0	0	0	0	0	0	0	0
ENSG00000186827	0	1	0	0	2	0	0	0
ENSG00000186891	2	1	8	5	1	11	0	1
ENSG00000160072	594	562	301	232	586	476	345	242
ENSG00000041988	167	249	150	119	141	228	259	291
ENSG00000260179	0	0	0	1	0	0	2	0
ENSG00000234396	0	0	0	0	0	0	0	0
ENSG00000225972	390	1227	320	693	181	889	161	744
ENSG00000224315	0	0	0	0	0	0	0	0
ENSG00000198744	126	505	82	135	55	164	49	185
ENSG00000279928	2	4	0	0	2	10	1	4
ENSG00000228037	0	0	0	0	0	0	0	0
ENSG00000142611	543	430	408	260	7	10	13	2
ENSG00000225630	4974	19096	12329	23455	2635	15787	3486	7708
ENSG00000067606	35	76	59	47	48	106	23	31
ENSG00000131584	698	597	543	348	498	424	695	478
ENSG00000227589	0	0	0	0	0	0	0	0
ENSG00000237402	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0
ENSG00000169972	252	328	182	206	267	342	258	352
ENSG00000157911	366	590	338	325	304	499	405	337
ENSG00000269896	39	32	30	17	9	7	18	27
ENSG00000237973	26827	72780	40764	56670	24341	63265	24653	39482
ENSG00000224051	692	854	672	583	576	875	801	1149
ENSG00000228750	0	0	0	0	0	0	0	0
ENSG00000228463	77	185	30	42	47	123	67	75
ENSG00000238260	2	0	2	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0
ENSG00000157933	2679	2472	3224	2436	1438	1649	2948	2189
ENSG00000162591	6432	4813	6148	3479	836	515	4435	2502
ENSG00000224340	0	0	0	0	0	0	0	0
ENSG00000270035	0	0	0	0	0	0	0	0
ENSG00000169962	3	7	13	4	3	9	1	7
ENSG00000226545	0	0	0	0	0	0	0	1
ENSG00000233653	1	0	2	0	0	0	1	0
ENSG00000268663	0	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0
ENSG00000116285	2999	3234	2012	1656	374	562	952	544
ENSG00000229280	0	0	0	0	0	0	0	0
ENSG00000142655	688	658	501	444	632	643	800	708
ENSG00000232596	0	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	0	0
ENSG00000232663	0	0	0	0	0	0	0	0
ENSG00000284646	0	0	0	0	0	0	0	0
ENSG00000240409	1	1	1	3	0	0	1	1
ENSG00000229344	43	208	52	83	41	182	25	80
ENSG00000231510	0	0	0	0	0	0	0	0
ENSG00000149527	6	7	6	9	8	2	2	5
ENSG00000284739	0	0	0	0	0	0	0	0
ENSG00000007923	983	770	673	436	669	574	1030	390
ENSG00000171621	1515	1553	961	777	648	726	1094	859
ENSG00000272235	4	6	3	3	1	0	0	0
ENSG00000236679	5	13	4	4	2	9	3	0
ENSG00000284694	0	0	0	0	0	0	0	0
ENSG00000162441	422	421	259	253	196	267	279	213
ENSG00000230021	3	7	6	5	1	3	10	9
ENSG00000271264	0	0	0	0	0	0	0	0
ENSG00000287356	6	11	22	8	11	11	18	15
ENSG00000224387	0	0	0	0	0	0	0	0
ENSG00000187017	0	1	1	1	0	0	0	2
ENSG00000285629	0	0	0	0	0	0	0	0
ENSG00000173673	0	0	0	0	0	0	0	0
ENSG00000227372	153	277	269	236	108	225	267	337
ENSG00000142583	34	24	110	84	25	14	54	41
ENSG00000223663	0	0	0	0	0	0	2	0
ENSG00000107404	1868	2514	1589	1215	1220	1924	1589	1832
ENSG00000284674	0	0	0	0	0	0	0	0
ENSG00000177000	234	145	260	185	143	159	232	130
ENSG00000272161	0	0	0	0	0	0	0	0
ENSG00000237094	6	12	13	15	0	2	8	6
ENSG00000069424	267	182	241	182	249	217	320	214
ENSG00000224338	0	0	0	0	0	0	0	0
ENSG00000074800	39503	24971	21884	16213	30527	19048	35143	20569
ENSG00000234546	23	33	34	42	30	40	42	42
ENSG00000116786	2195	2377	2248	1630	1615	1812	3234	2990
ENSG00000287727	0	2	0	0	0	0	0	0
ENSG00000176022	848	1239	1155	927	856	1095	1055	1260
ENSG00000223989	0	0	0	0	0	0	0	0
ENSG00000228423	0	0	0	0	0	0	0	0
ENSG00000286448	0	0	0	0	0	0	0	0
ENSG00000162496	767	848	670	632	985	1038	929	1168
ENSG00000237365	0	0	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	1	0	0	0
ENSG00000229305	0	0	0	0	0	0	0	0
ENSG00000284703	0	0	0	0	0	0	0	0
ENSG00000226457	0	0	0	0	0	0	2	0
ENSG00000162494	0	0	3	1	0	2	26	34
ENSG00000173614	239	211	192	138	164	153	262	100
ENSG00000248527	11361	37496	12596	22865	4910	26208	6989	22575
ENSG00000237728	0	0	0	0	0	0	0	0
ENSG00000215720	0	0	0	0	0	0	0	0
ENSG00000279804	0	0	0	0	0	0	1	0
ENSG00000116273	681	597	857	617	504	457	1032	591
ENSG00000241326	0	0	0	0	0	0	0	0
ENSG00000285701	0	0	0	0	0	0	1	0
ENSG00000233623	0	0	0	0	0	0	0	0
ENSG00000162592	0	0	0	1	0	0	0	0
ENSG00000116254	0	5	5	2	2	4	5	3
ENSG00000049245	2792	4559	2697	2635	1943	3764	2733	3377
ENSG00000179743	25	51	40	38	5	26	22	31
ENSG00000233645	0	0	0	0	0	0	0	0
ENSG00000234064	0	0	0	0	0	0	0	1
ENSG00000204624	2	0	0	0	0	2	0	0
ENSG00000284708	0	0	0	0	0	0	0	0
ENSG00000171603	5608	3638	5838	3225	5090	3483	6310	3169
ENSG00000280113	0	0	0	0	0	0	0	0
ENSG00000142606	1	10	1	0	1	2	2	0
ENSG00000235146	0	0	0	0	0	0	0	0
ENSG00000177674	541	688	406	347	705	985	434	654
ENSG00000162572	18	14	26	19	13	25	21	25
ENSG00000171608	264	227	177	103	556	404	224	134
ENSG00000225931	1	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	1	2	0
ENSG00000171729	105	122	75	50	256	279	30	29
ENSG00000228150	1	2	3	0	0	3	0	0
ENSG00000175262	0	1	0	0	0	0	0	0
ENSG00000279457	309	344	197	204	268	245	378	422
ENSG00000162571	0	0	0	0	0	2	0	0
ENSG00000231181	0	1	0	0	0	0	0	0
ENSG00000238173	0	0	0	0	0	0	0	0
ENSG00000158109	1792	1801	1396	1157	1356	1492	2926	2080
ENSG00000229393	0	0	0	0	0	0	0	0
ENSG00000269978	0	0	0	0	0	0	0	0
ENSG00000037637	615	637	533	386	446	414	766	469
ENSG00000184163	48	49	18	18	15	32	9	28
ENSG00000287586	0	0	0	0	1	0	0	0
ENSG00000159423	713	491	374	231	279	190	1058	639
ENSG00000142599	2369	2116	2949	1846	1471	1506	2791	1936
ENSG00000227169	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0
ENSG00000011021	304	299	423	299	190	189	394	244
ENSG00000272482	4	3	3	4	1	3	2	3
ENSG00000284747	8	15	2	1	2	5	1	0
ENSG00000215912	1	0	1	1	0	1	0	0
ENSG00000120952	0	0	0	0	0	0	0	0
ENSG00000243073	0	0	0	0	0	0	0	0
ENSG00000142615	0	0	0	0	0	0	0	0
ENSG00000215704	2	0	0	1	0	0	0	0
ENSG00000065526	1086	897	1254	788	426	470	1344	731
ENSG00000175756	2106	2582	1087	1148	1557	1839	1858	2074
ENSG00000229484	0	0	0	0	0	0	0	0
ENSG00000157916	2961	3360	2339	1767	3844	4203	2371	2133
ENSG00000157881	601	394	448	281	611	406	684	286
ENSG00000116213	330	230	171	155	241	186	355	206
ENSG00000283611	0	0	0	0	0	0	0	1
ENSG00000238290	1	0	0	0	0	0	2	0
ENSG00000225387	0	0	0	0	0	0	0	0
ENSG00000127463	2521	1768	2109	1220	1971	1373	1784	817
ENSG00000048707	934	628	958	582	489	446	1120	347
ENSG00000158748	2	3	0	2	0	2	0	1
ENSG00000235643	0	0	0	0	0	0	0	0
ENSG00000225196	0	0	0	0	0	0	0	0
ENSG00000130762	38	48	24	13	4	5	26	17
ENSG00000187144	0	0	0	1	0	1	0	1
ENSG00000162444	0	1	9	0	4	2	3	0
ENSG00000279169	0	0	0	0	0	0	0	0
ENSG00000279625	0	0	0	0	0	0	0	0
ENSG00000180758	41	50	55	38	55	107	49	62
ENSG00000231219	0	0	0	0	0	0	0	1
ENSG00000229010	1	0	0	0	0	0	0	0
ENSG00000184677	523	334	470	254	261	258	387	171
ENSG00000230679	0	1	0	0	0	0	0	0
ENSG00000270136	0	0	0	0	0	0	0	0
ENSG00000132879	160	127	163	137	133	152	220	186
ENSG00000187545	0	1	0	0	0	0	0	0
ENSG00000288398	64	78	72	54	31	74	93	106
ENSG00000224621	0	0	0	0	0	0	0	0
ENSG00000239810	0	0	0	0	0	0	0	0
ENSG00000285833	0	0	0	0	0	0	0	0
ENSG00000224459	2	8	1	0	0	0	0	1
ENSG00000116731	441	399	556	398	292	330	717	295
ENSG00000116721	0	0	0	0	0	0	0	0
ENSG00000215785	0	0	0	0	0	0	1	0
ENSG00000131697	248	213	203	144	121	92	224	156
ENSG00000284692	0	0	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0	0	0
ENSG00000225952	0	0	0	0	0	0	0	0
ENSG00000280222	0	0	0	0	0	0	0	3
ENSG00000088280	413	313	479	302	211	158	821	432
ENSG00000188807	382	317	380	276	282	278	371	228
ENSG00000284693	20	51	19	33	8	11	31	43
ENSG00000232298	0	0	0	0	0	0	1	0
ENSG00000227634	0	0	0	0	0	0	0	0
ENSG00000225315	0	0	0	0	0	0	0	0
ENSG00000198793	1659	1144	1457	807	936	667	1520	613
ENSG00000078900	0	1	0	0	0	0	1	0
ENSG00000142661	9	4	13	8	0	0	8	5
ENSG00000285945	0	0	0	0	0	0	0	0
ENSG00000171819	0	0	0	0	0	0	0	0
ENSG00000229162	0	0	0	0	1	1	0	0
ENSG00000197921	0	0	0	1	0	0	1	2
ENSG00000233755	0	0	0	0	0	0	0	0
ENSG00000116288	3780	4340	2446	2781	3116	3942	3788	3098
ENSG00000238164	4	6	2	2	2	2	1	1
ENSG00000233929	0	0	0	0	0	0	0	0
ENSG00000287810	0	2	1	0	0	1	2	0
ENSG00000271742	0	0	0	0	0	0	0	0
ENSG00000142677	2	7	9	9	1	0	20	8
ENSG00000131910	0	0	0	0	0	0	0	0
ENSG00000185436	2	0	7	5	1	3	0	0
