Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PDAC200Tkf1_fwd	PDAC200Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	79135233.0	0.0	40-75	46.0	57.029117289968354	74.98958644627987	pass	pass	warn	pass	warn	warn	pass	warn	warn	warn	pass
PDAC200Tkf1_rev	PDAC200Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	79135233.0	0.0	40-75	46.0	56.55172644363715	74.98958644627987	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
PDAC201Tkf1_fwd	PDAC201Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	132564014.0	0.0	40-75	50.0	35.24205383444518	74.98763809309516	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC201Tkf1_rev	PDAC201Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	132564014.0	0.0	40-75	51.0	35.65715839293958	74.98763809309516	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC202Tkf1_fwd	PDAC202Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	96951779.0	0.0	40-75	47.0	45.115257909480015	74.99151866001345	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
PDAC202Tkf1_rev	PDAC202Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	96951779.0	0.0	40-75	47.0	44.79086248694053	74.99151866001345	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
PDAC203Tkf1_fwd	PDAC203Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	78662150.0	0.0	40-75	47.0	51.68711695143548	74.98062336206168	pass	pass	warn	pass	warn	fail	pass	warn	warn	warn	pass
PDAC203Tkf1_rev	PDAC203Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	78662150.0	0.0	40-75	47.0	51.68313078796597	74.98062336206168	pass	pass	fail	pass	warn	fail	pass	warn	warn	warn	pass
PDAC204Tkf1_fwd	PDAC204Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89037693.0	0.0	40-75	48.0	45.29117946652676	74.989899895542	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
PDAC204Tkf1_rev	PDAC204Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89037693.0	0.0	40-75	48.0	44.34518381438854	74.989899895542	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PDAC205Tkf1_fwd	PDAC205Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74379659.0	0.0	40-75	49.0	40.3787902682556	74.98494319528946	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
